Bambu Labs,Matte Lilac,PLA,1000
Generic,Bone White,ABS,1000
Bambu Labs,Army Green,PETG,600
Bambu Labs,Transparent Pink,PETG,1000
Bambu Labs,Transparent Teal,PETG,1000
Bambu Labs,Jade White,PLA,1000
asd,asdf,asdf,fsadfsaf
